id,event,obj,page_load_time,trigger_time,user_id,device
624,6,,2022-08-30 11:39:27,2022-08-30 11:39:35.807125,,1
625,8,,2022-08-30 11:39:36,2022-08-30 11:39:55.658081,,1
626,28,,2022-08-30 08:40:15,2022-08-30 11:40:50.730203,46,1
627,10,,2022-08-30 11:37:41,2022-08-30 11:42:01.889156,69,1
628,10,,2022-08-30 11:37:41,2022-08-30 11:42:59.623543,69,1
629,10,,2022-08-30 11:43:00,2022-08-30 11:43:04.927041,69,1
630,1,,2022-08-30 11:43:05,2022-08-30 11:43:07.486223,69,1
631,1,,2022-08-30 11:43:05,2022-08-30 11:43:08.222556,69,1
632,9,,2022-08-30 11:43:05,2022-08-30 11:43:10.582490,69,1
633,13,,2022-08-30 11:43:10,2022-08-30 11:47:59.522210,69,1
634,9,,2022-08-30 12:46:30,2022-08-30 12:46:33.719426,58,1
635,6,,2022-08-30 14:06:43,2022-08-30 14:06:50.980625,,1
636,8,,2022-08-30 14:06:51,2022-08-30 14:07:12.132144,,1
637,6,,2022-08-30 14:07:06,2022-08-30 14:07:12.781703,,1
638,27,,2022-08-30 14:07:12,2022-08-30 14:07:27.278438,71,1
639,8,,2022-08-30 14:07:12,2022-08-30 14:07:43.598837,,1
640,6,,2022-08-30 14:07:39,2022-08-30 14:07:44.177459,,1
641,1,,2022-08-30 14:08:11,2022-08-30 14:08:14.048643,72,1
642,1,,2022-08-30 14:08:11,2022-08-30 14:08:14.806957,72,1
643,26,,2022-08-30 14:08:11,2022-08-30 14:08:16.089338,72,1
644,27,,2022-08-30 14:08:16,2022-08-30 14:08:16.773493,72,1
645,28,,2022-08-30 14:08:16,2022-08-30 14:08:17.390909,72,1
646,8,,2022-08-30 14:07:44,2022-08-30 14:08:20.597756,,1
647,6,,2022-08-30 14:10:27,2022-08-30 14:10:31.201941,,1
648,26,,2022-08-30 14:10:33,2022-08-30 14:10:42.379409,71,1
649,28,,2022-08-30 14:10:42,2022-08-30 14:10:43.713816,71,1
650,26,,2022-08-30 14:10:43,2022-08-30 14:10:47.191860,71,1
651,8,,2022-08-30 14:10:31,2022-08-30 14:10:59.368607,,1
652,10,,2022-08-30 14:10:59,2022-08-30 14:12:18.241918,74,1
653,10,,2022-08-30 14:12:18,2022-08-30 14:12:22.384145,74,1
654,6,,2022-08-30 15:15:37,2022-08-30 15:15:39.733260,,1
655,8,,2022-08-30 15:15:39,2022-08-30 15:16:37.760212,,1
656,9,,2022-08-30 15:16:38,2022-08-30 15:16:59.535552,75,1
657,10,,2022-08-30 15:18:02,2022-08-30 15:20:49.631905,75,1
658,10,,2022-08-30 15:20:49,2022-08-30 15:20:53.942657,75,1
659,9,,2022-08-30 15:20:54,2022-08-30 15:21:01.598529,75,1
660,26,,2022-08-30 15:21:01,2022-08-30 15:21:05.949717,75,1
661,1,,2022-08-30 15:21:06,2022-08-30 15:24:30.894601,75,1
662,1,,2022-08-30 15:21:06,2022-08-30 15:24:31.613492,75,1
663,8,,2022-08-30 12:25:25,2022-08-30 15:25:41.020765,,0
664,10,,2022-08-30 15:21:06,2022-08-30 15:25:44.559950,75,1
665,9,,2022-08-30 12:25:41,2022-08-30 15:25:52.523234,76,0
666,9,,2022-08-30 15:25:48,2022-08-30 15:25:52.587315,75,1
667,26,,2022-08-30 15:25:52,2022-08-30 15:25:59.643277,75,1
668,28,,2022-08-30 12:25:52,2022-08-30 15:26:14.134719,76,0
669,10,,2022-08-30 15:25:59,2022-08-30 15:26:22.284874,75,1
670,6,,2022-08-30 15:35:46,2022-08-30 15:35:48.629873,,1
671,8,,2022-08-30 15:35:48,2022-08-30 15:36:12.840709,,1
672,10,,2022-08-30 15:36:13,2022-08-30 15:36:22.191408,77,1
673,10,,2022-08-30 15:36:13,2022-08-30 15:36:23.238979,77,1
674,10,,2022-08-30 15:36:13,2022-08-30 15:36:29.998867,77,1
675,10,,2022-08-30 15:36:30,2022-08-30 15:36:31.864179,77,1
676,9,,2022-08-30 15:36:32,2022-08-30 15:36:35.260532,77,1
677,6,,2022-08-30 15:41:07,2022-08-30 15:41:09.850299,,1
678,28,,2022-08-30 15:41:54,2022-08-30 15:42:07.391386,78,1
679,6,,2022-08-30 15:51:54,2022-08-30 15:51:57.504184,,1
680,8,,2022-08-30 15:51:57,2022-08-30 15:52:21.903650,,1
681,26,,2022-08-30 15:52:22,2022-08-30 15:52:37.797294,79,1
682,9,,2022-08-30 15:52:37,2022-08-30 15:52:42.597120,79,1
683,6,,2022-08-30 15:54:23,2022-08-30 15:54:29.387584,,1
684,9,,2022-08-30 15:26:22,2022-08-30 15:54:31.543216,75,1
685,8,,2022-08-30 15:54:29,2022-08-30 15:55:20.593228,,1
686,28,,2022-08-30 15:55:21,2022-08-30 15:55:35.894910,80,1
687,6,,2022-08-30 17:37:39,2022-08-30 17:37:42.041116,,1
688,8,,2022-08-30 17:37:42,2022-08-30 17:38:04.940467,,1
689,1,,2022-08-30 17:38:07,2022-08-30 17:38:37.708947,81,1
690,27,,2022-08-30 17:38:07,2022-08-30 17:38:40.261794,81,1
691,27,,2022-08-30 17:43:31,2022-08-30 17:43:36.001458,81,1
692,28,,2022-08-30 17:43:36,2022-08-30 17:43:37.166805,81,1
693,26,,2022-08-30 17:44:14,2022-08-30 17:44:17.309049,81,1
694,9,,2022-08-30 17:46:51,2022-08-30 17:46:54.032181,81,1
695,6,,2022-08-30 17:48:16,2022-08-30 17:48:18.981151,,1
696,8,,2022-08-30 17:48:19,2022-08-30 17:48:40.551921,,1
697,7,,2022-08-30 15:03:36,2022-08-30 18:03:42.270613,,1
698,28,,2022-08-30 15:03:42,2022-08-30 18:03:54.356874,46,1
699,9,,2022-08-30 17:48:41,2022-08-30 18:05:41.555540,82,1
700,6,,2022-08-30 18:14:27,2022-08-30 18:14:29.718081,,1
701,9,,2022-08-30 18:14:54,2022-08-30 18:15:11.198243,83,1
702,13,,2022-08-30 18:15:10,2022-08-30 18:22:37.995145,83,1
703,13,,2022-08-30 18:05:41,2022-08-30 18:22:45.300481,82,1
704,22,17,2022-08-30 18:22:41,2022-08-30 18:23:03.650206,83,1
705,22,17,2022-08-30 18:22:41,2022-08-30 18:23:11.996479,83,1
706,28,,2022-08-30 18:22:52,2022-08-30 18:23:15.434324,82,1
707,28,,2022-08-30 18:22:41,2022-08-30 18:23:27.902141,83,1
708,28,,2022-08-30 18:23:34,2022-08-30 18:23:36.486505,78,1
709,27,,2022-08-30 18:40:39,2022-08-30 18:40:47.292245,78,1
710,27,,2022-08-30 18:42:03,2022-08-30 18:42:10.444927,78,1
711,28,,2022-08-30 19:01:01,2022-08-30 19:01:40.867360,78,1
712,6,,2022-08-30 19:05:25,2022-08-30 19:05:42.055661,,1
713,8,,2022-08-30 19:05:42,2022-08-30 19:06:19.446534,,1
714,9,,2022-08-30 19:06:19,2022-08-30 19:11:29.846909,84,1
715,13,,2022-08-30 15:54:31,2022-08-30 19:14:41.601814,75,1
716,10,,2022-08-30 19:14:44,2022-08-30 19:14:54.683305,75,1
717,6,,2022-08-30 19:16:31,2022-08-30 19:16:32.933716,64,1
718,26,,2022-08-30 19:16:33,2022-08-30 19:16:38.379689,64,1
719,27,,2022-08-30 19:16:38,2022-08-30 19:16:49.756741,64,1
720,28,,2022-08-30 19:16:49,2022-08-30 19:16:50.409780,64,1
721,26,,2022-08-30 19:16:50,2022-08-30 19:16:54.656779,64,1
722,1,,2022-08-30 19:16:58,2022-08-30 19:17:05.922583,64,1
723,1,,2022-08-30 19:16:58,2022-08-30 19:17:06.410626,64,1
724,6,,2022-08-30 19:16:58,2022-08-30 19:17:10.414786,64,1
725,26,,2022-08-30 19:17:10,2022-08-30 19:17:15.267617,64,1
726,10,,2022-08-30 19:14:54,2022-08-30 19:17:24.990678,75,1
727,26,,2022-08-30 19:17:15,2022-08-30 19:17:26.942243,64,1
728,10,,2022-08-30 19:14:54,2022-08-30 19:17:28.436913,75,1
729,27,,2022-08-30 19:17:27,2022-08-30 19:17:28.640742,64,1
730,1,,2022-08-30 19:17:36,2022-08-30 19:19:43.421922,75,1
731,1,,2022-08-30 19:17:36,2022-08-30 19:19:43.938428,75,1
732,28,,2022-08-30 19:17:36,2022-08-30 19:19:44.935301,75,1
733,19,18,2022-08-30 19:19:45,2022-08-30 19:21:24.810799,75,1
734,19,18,2022-08-30 19:19:45,2022-08-30 19:21:49.148767,75,1
735,22,19,2022-08-30 19:19:45,2022-08-30 19:22:46.735235,75,1
736,22,12,2022-08-30 19:19:45,2022-08-30 19:23:34.529901,75,1
737,7,,2022-08-30 19:24:21,2022-08-30 19:24:31.533405,,0
738,9,,2022-08-30 19:24:31,2022-08-30 19:24:34.399056,64,0
739,6,,2022-08-30 19:25:51,2022-08-30 19:25:52.673407,,1
740,8,,2022-08-30 19:25:53,2022-08-30 19:26:54.173034,,1
741,26,,2022-08-30 19:27:01,2022-08-30 19:27:03.718160,64,1
742,27,,2022-08-30 19:27:03,2022-08-30 19:27:06.341589,64,1
743,28,,2022-08-30 19:27:06,2022-08-30 19:27:06.864463,64,1
744,8,,2022-08-30 19:26:54,2022-08-30 19:27:09.868021,,1
745,26,,2022-08-30 19:27:10,2022-08-30 19:27:33.835761,85,1
746,26,,2022-08-30 19:27:34,2022-08-30 19:27:35.277383,85,1
747,27,,2022-08-30 19:27:35,2022-08-30 19:27:36.070492,85,1
748,13,,2022-08-30 19:27:36,2022-08-30 19:36:58.889054,85,1
749,22,22,2022-08-30 19:37:00,2022-08-30 19:38:15.793679,85,1
750,22,22,2022-08-30 19:37:00,2022-08-30 19:38:24.582490,85,1
751,26,,2022-08-30 19:38:31,2022-08-30 19:38:32.885463,85,1
752,9,,2022-08-30 19:38:33,2022-08-30 19:38:39.948199,85,1
753,13,,2022-08-30 19:38:40,2022-08-30 19:40:33.493328,85,1
754,6,,2022-08-30 19:41:03,2022-08-30 19:41:06.796442,85,1
755,1,,2022-08-30 19:41:07,2022-08-30 19:41:09.524204,85,1
756,26,,2022-08-30 19:41:07,2022-08-30 19:41:18.244438,85,1
757,28,,2022-08-30 16:54:50,2022-08-30 19:54:52.944173,37,1
758,28,,2022-08-30 16:56:26,2022-08-30 19:56:33.241277,37,1
759,28,,2022-08-30 19:41:18,2022-08-30 19:57:19.318968,85,1
760,7,,2022-08-30 16:57:41,2022-08-30 19:57:46.685795,,1
761,28,,2022-08-30 16:57:47,2022-08-30 19:57:49.728476,37,1
762,20,11,2022-08-30 16:57:50,2022-08-30 19:58:26.162328,37,1
763,20,11,2022-08-30 16:57:50,2022-08-30 19:58:31.540911,37,1
764,7,,2022-08-30 16:59:00,2022-08-30 19:59:07.336059,,1
765,28,,2022-08-30 16:59:07,2022-08-30 19:59:09.194653,46,1
766,20,11,2022-08-30 16:59:09,2022-08-30 19:59:16.042831,46,1
767,20,11,2022-08-30 16:59:09,2022-08-30 19:59:19.105214,46,1
768,20,11,2022-08-30 16:59:09,2022-08-30 19:59:19.846907,46,1
769,6,,2022-08-30 20:16:17,2022-08-30 20:16:19.902122,,1
770,6,,2022-08-30 20:31:54,2022-08-30 20:31:58.098183,,1
771,6,,2022-08-30 20:33:51,2022-08-30 20:33:57.199060,,1
772,8,,2022-08-30 20:33:57,2022-08-30 20:34:11.894257,,1
773,8,,2022-08-30 20:34:13,2022-08-30 20:34:47.430311,,1
774,6,,2022-08-30 20:35:15,2022-08-30 20:35:16.289789,,1
775,8,,2022-08-30 20:35:16,2022-08-30 20:35:31.649986,,1
776,28,,2022-08-30 20:35:32,2022-08-30 20:35:49.834570,87,1
777,6,,2022-08-30 20:46:48,2022-08-30 20:46:57.464513,60,1
778,26,,2022-08-30 20:46:57,2022-08-30 20:47:00.132721,60,1
779,9,,2022-08-30 20:47:00,2022-08-30 20:47:05.432091,60,1
780,6,,2022-08-30 20:48:05,2022-08-30 20:48:11.405714,,1
